gene,r_with_depth,pval
VIM,0.6092467041649711,1.2748418719497312e-28
SNAI1,0.38991799574850505,3.6618253370705546e-11
FN1,0.3509701511082437,3.4677541539393007e-09
CD44,0.23682632267411116,9.050677126124822e-05
ZEB1,0.12382231491711843,0.04282790183942616
MKI67,0.10292622740059307,0.09265267848540945
CD274,0.0016360269983821812,0.9787327159717872
PROM1,-0.024094057829604103,0.694577965370609
ALDH1A1,-0.02537979501434856,0.6791599548037779
ESR1,-0.39287987617201503,2.525844379898786e-11
ESR1,-0.39287987617201503,2.525844379898786e-11
FOXA1,-0.4296053581231493,1.8374536268520818e-13
CDH1,-0.4586378656008909,2.4023628084443542e-15
GATA3,-0.5072745411818216,6.242226375670399e-19
CLDN7,-0.6184671162475823,1.1214115858556767e-29
CLDN3,-0.6366807409778683,7.217582025742167e-32
CLDN4,-0.6410843973919229,2.0243066661732525e-32
