gene,LumA,HER2,TNBC
FOXA1,36.79059982299805,12.741039276123047,-77.7362060546875
GATA3,19.998769760131836,-44.660213470458984,-46.2356071472168
ESR1,10.035517692565918,-92.48394775390625,-95.295654296875
PGR,-34.126373291015625,-95.17227935791016,-97.22071838378906
ERBB2,-15.35830307006836,20.649526596069336,-68.8113784790039
GRB7,-14.66323471069336,5.37118673324585,-70.76812744140625
SOX10,-96.42430114746094,-96.80068969726562,1110.2786865234375
KRT5,-94.23553466796875,-64.5606918334961,337.6680603027344
ZEB1,-22.17033576965332,-28.434402465820312,703.3710327148438
VIM,-75.88261413574219,-69.67091369628906,153.4405059814453
EZH2,13.160382270812988,175.99366760253906,224.15147399902344
EED,-21.65118980407715,6.25405216217041,126.61543273925781
MKI67,-55.24485778808594,1151.7806396484375,807.0554809570312
TOP2A,-12.93213939666748,29.997562408447266,76.90946197509766
AR,-9.648597717285156,-16.831012725830078,-81.00322723388672
EGFR,-94.07965850830078,227.09893798828125,212.67747497558594
SPI1,-36.62894821166992,-54.42479705810547,137.85780334472656
CDX2,0.0,0.0,0.0
MBP,-81.64978790283203,-35.48068618774414,69.62166595458984
