gene,r_DepthT_TCGA,r_DepthS_TCGA,r_DepthT_GSE,r_DepthS_GSE
ACTA2,0.47138817873368605,0.7260510416172476,0.7037207518686347,0.8148826282560934
ALB,-0.6923216636180063,-0.5455375103934216,-0.8218245500771924,-0.8473838467345407
ALDH1A1,-0.1997823237376372,-0.2658009647352686,0.033494657861744714,0.007572346416689302
ALDOB,-0.5981517557760776,-0.5104011218080411,-0.16481525967796468,-0.09944511874208731
APOB,-0.730827471568416,-0.6871530376291499,-0.6342183119593371,-0.6914445299237362
ARID1A,0.2653305699003819,0.24940734013676186,0.5460012876511331,0.571162353068835
ASXL1,-0.06948503595718611,0.07104811338195624,0.4409749575886291,0.4412725771120818
BAP1,0.1368385969712762,0.05645625153696432,0.4057273702145282,0.35052779361876385
BIRC5,-0.05664907826242209,-0.210861976334418,0.47037395464617915,0.4167122052793727
CA9,-0.30047435825769003,-0.2774852041823281,-0.07775369022258416,-0.04726480253722555
CCNB1,-0.021515162332435778,-0.12620146093211926,0.41109783446486114,0.4595041486274643
CCND1,-0.20651979809853796,-0.09433982599658494,0.5254679452163094,0.5680983040327807
CD44,0.6049475021072859,0.5812388962238638,0.6373074024578327,0.6685507456823374
CDC20,0.1403249660444439,0.015483631137238593,0.21511673048443236,0.3089020792188051
CDH1,-0.46940696100244517,-0.2952107203210985,0.37124997147159056,0.49502955575853147
CDK4,0.02381899644419265,0.01191423521604576,0.3436102396965017,0.4342380286613642
CDK6,0.4324637577557888,0.38147220948114124,0.5019470256299758,0.36285172454910386
CDKN2A,-0.08466376354899781,-0.1900656508109396,-0.11324919057849081,-0.1270904574870727
CLDN4,0.010030600417233144,0.15279313556657823,-0.13907856357807463,-0.2536990196537172
COL1A1,0.33862323332698335,0.6657499828306235,0.517612675007233,0.7525187607955651
CTNNB1,0.45948579239738,0.5138110119740229,0.43564468144051693,0.2569684903140408
CYP3A4,-0.6049621106930018,-0.44167544886347143,0.105232317364997,0.0591755375288382
DNMT1,0.17096023152455428,0.0709244440712743,0.12973158625047782,0.23438045776091995
DNMT3A,-0.04899189133692594,-0.019791580885332533,-0.5520301035913147,-0.5166785898668516
EGFR,-0.1599346080281307,-0.09864995278945624,0.5538016456318821,0.5398852456793362
EPCAM,-0.45816588114278145,-0.28161699635834697,,
ERBB2,0.0051146939925044085,0.16579343256264029,0.42725702862503184,0.5472218755947269
EZH2,-0.0972842790386168,-0.2641113713632944,0.48653850243202534,0.4375428700917962
FAP,0.46709501360122974,0.6512372352937794,0.2703289074138171,0.34512219337336736
FGFR2,-0.5449651784319929,-0.43185019192128404,0.12071802302817984,0.06128697292984438
FN1,-0.022145788412337768,0.17924513629069855,0.15538052687051446,0.11682512549290394
FOXA2,-0.5671768634347449,-0.45088558306402565,0.28178751535316454,0.35366338183125967
G6PC,-0.8161601438087609,-0.5963210614917402,-0.11327403300768175,-0.09201881633586607
GGT1,-0.1298255444582414,-0.0355740408650351,-0.4047672670045598,-0.41382536059941344
GLUL,0.0027472918034114682,0.10057175822781231,0.12692545712619874,0.019106289836188034
HAVCR2,0.49787819548549067,0.44601074381474604,0.5602569270728933,0.6116601324374605
HDAC1,0.10706465754553611,0.028427148271967823,0.5005283949138153,0.575893642502909
HDAC2,0.36146634421232554,0.3276602320493125,0.4434115781230025,0.2654112797111772
HNF4A,-0.5003328299351899,-0.38276292491407987,-0.6008237183506033,-0.6806724730296655
IDH1,-0.4155452006248647,-0.37703958446522046,0.34853869987767583,0.2834938153075352
IDH2,-0.3863880193886974,-0.4265317407071741,0.2113508453940561,0.17267463806942662
KDM1A,0.5040856741850526,0.49637152022339215,,
KRAS,0.2991196712205394,0.2939544930196425,0.07273318228837854,0.0069958162683088285
KRT19,-0.11398219894577294,-0.0224729533984636,-0.24113541479926287,-0.18254887220972843
KRT7,-0.23532203817175917,-0.13917817891706344,0.156386354270243,0.15264893539475893
MKI67,0.08362595011033139,0.008619010540664364,-0.26734906107824397,-0.2250139336598765
MMP2,0.6008520951622067,0.7336284320066371,-0.10643864651367939,-0.11918220750904228
MMP9,0.4453424981099135,0.4685557039635291,-0.1510075635848489,-0.10023664392277924
MUC1,0.1654692555010378,0.22902199461735656,0.051131902164176596,-0.025689079596941382
MYC,0.2798052750988883,0.2946038184897157,0.22107478636887784,0.12788331065408268
NOTCH1,0.24602735714741542,0.40439891497900693,0.49391588968593725,0.5452570578690117
NOTCH2,0.019115258161356126,0.043626114619624394,-0.07755875211622387,-0.13584408144502969
POSTN,0.37913472598203424,0.6489457891672514,0.5624747609343378,0.6492398955259773
PROM1,0.06627874235668876,0.14643808335083192,0.30486131895433566,0.35759466819168173
PTEN,0.34708737652634625,0.3636031471727608,0.4054340778123591,0.457409192060348
RB1,0.4017710918566134,0.42425066550944845,0.12720345738066577,0.22541529258155873
RCOR1,0.35978072253846516,0.3757183739915741,0.25824333606528094,0.22783340252504614
SF3B1,0.30256757742385365,0.25460217642196703,0.46437280097325384,0.5118362274863526
SMAD4,-0.3630024778983261,-0.3147364017677225,0.43988649664123675,0.3579284491681815
SNAI1,0.3159669946361729,0.45402564762508146,-0.13748752692546726,-0.14942531831569533
SOX17,0.1704984674150798,0.25855832281050073,-0.42701855030796076,-0.3332839561205069
SOX4,-0.2790023482967194,-0.16657216080048126,0.5993701790650139,0.6563763728104635
SOX9,-0.14525326517569678,-0.028677462806682714,-0.28618685243658204,-0.23892572884923025
STAT3,0.36198579920604335,0.3474105859558747,-0.014496776716211218,-0.025326179481283143
TET2,0.285714984828236,0.3925987899135564,0.19984001371257462,0.1119635337617422
TGFB1,0.5372039218799308,0.6296265612242593,-0.16270417164526757,-0.13908447687005054
TOP2A,0.043954960721400746,-0.020194657987516067,-0.26012692534863013,-0.2099332855623885
TP53,-0.004449967998647109,0.10687385528441876,0.12330996890393431,0.15260778556758497
TWIST1,0.6862733124919764,0.7663740873905571,0.4621707005752521,0.3774749545873549
VEGFA,-0.3074214483365857,-0.2035066824603124,-0.2835678233278278,-0.2823189276609675
VIM,0.5536198236350954,0.3448525983419065,0.8133099904981949,0.5726427347434335
WNT5A,0.6414289196069746,0.6640996192910117,0.4081765494601306,0.4100879358578184
ZEB1,0.5797057327836369,0.5246579755117148,0.6417360688066749,0.4639210436854954
ZEB2,0.564072816269552,0.6362190727691972,0.22229790192630566,0.19774422651337364
