gene,role,hd_mean,mm_mean,change_pct,p_supp,p_elev,result
IRF8,SWITCH,0.5682522929059096,0.11679651703005459,-79.44636238372495,0.0,1.0,CONFIRMED
IRF4,FALSE_ATTRACTOR,0.13126730422239785,0.28091284692599067,114.00062154857534,1.0,2.2292724567864497e-199,ATTRACTOR CONFIRMED
PRDM1,FALSE_ATTRACTOR,0.10801862993603754,0.32393177169780246,199.8850956447201,1.0,0.0,ATTRACTOR CONFIRMED
XBP1,FALSE_ATTRACTOR,0.5090235400965422,0.8423909273526026,65.49154626381983,1.0,1.9195728755105316e-158,ATTRACTOR CONFIRMED
PAX5,B_RESIDUAL,0.06736620175339168,0.07657979772109501,13.676882068298363,0.9999999999999712,2.8788623727814965e-14,SEE DATA
CD19,B_RESIDUAL,0.03314257700003269,0.04216590677257697,27.225794097228416,0.9999999999988983,1.1016975286767762e-12,SEE DATA
MS4A1,B_RESIDUAL,0.21963983236985038,0.17081390387840367,-22.229997156995175,0.027213734370276663,0.9727864846317457,SEE DATA
BCL6,B_RESIDUAL,0.09054120518954699,0.07299832371667424,-19.375577601542776,4.886332500505042e-11,0.9999999999511379,SEE DATA
MYC,SCAFFOLD,0.20861880666852742,0.2386146848577618,14.378319322329636,0.9999999999999969,3.145964903623776e-15,SEE DATA
MKI67,SCAFFOLD,0.25360431799448885,0.25816699829004286,1.7991335209257613,4.3125143288104744e-11,0.9999999999568757,SEE DATA
EZH2,LOCK,0.15222955118501333,0.1364040584461768,-10.395808577010705,4.6581767116966207e-07,0.9999995341890413,NEUTRAL
HSPA5,UPR,1.0146987689255325,1.1560610817632913,13.931456030783181,1.0,1.9995536515378243e-25,SEE DATA
DDIT3,UPR,0.1209263133143369,0.10030426619795509,-17.0533993397919,0.16292563035656216,0.8370751130783436,SEE DATA
ATF4,UPR,0.6706061429648218,0.6868640944230907,2.424366616504699,0.9902867084502146,0.00971334102097501,SEE DATA
