gene,r,p
ELAVL1,-0.18628216611835924,1.4737024157677523e-05
ESRP1,-0.1578986292479907,0.000249039649618484
ELAVL2,-0.1530382539361415,0.00038652697866922627
UPF1,-0.14274660363178845,0.0009400637066761191
ESRP2,-0.12994407341673994,0.002625119074652154
DDX5,-0.04794086677993728,0.26877909664799066
DHX9,-0.03762436727344368,0.3855529524934779
NOVA1,-0.025316790193804145,0.5593857201456334
SF3B2,-0.025095114487755657,0.5628313316079141
HNRNPM,0.0005495561727672481,0.9898913700963639
SF3A1,0.023471895108027087,0.5883680731785943
SRPK1,0.03299361494239008,0.44674577610630434
TRA2B,0.05408498843714234,0.21210270256376137
HNRNPC,0.0679360704580613,0.11687418861377948
U2AF2,0.07001804370627285,0.10605103071022799
HNRNPA2B1,0.0932230918918431,0.03124924262884717
HNRNPD,0.09490647140336786,0.028310756039402023
DDX17,0.09796557782307047,0.023575661454539994
CLK3,0.10104585741049978,0.01951623344091085
PTBP1,0.10403964790490966,0.016168478462447563
SRPK2,0.11077094146823707,0.010418141370051625
SF3A2,0.11696745594566628,0.006812052400703916
HNRNPL,0.11767755117145656,0.006480235343394352
SF3B1,0.12571487060370135,0.003616380515344014
U2AF1,0.13442144876595968,0.0018511392383618816
CLK4,0.14475594579426015,0.0007938454055052068
CLK1,0.14569030774494568,0.0007332894261622374
NOVA2,0.15785234554498054,0.00025009947643836884
PTBP2,0.17550688933800201,4.544806242056994e-05
TRA2A,0.2068664157365602,1.4254934916430426e-06
CLK2,0.20909365569175914,1.0909095791346513e-06
UPF2,0.21020040493094422,9.540858237479028e-07
MBNL2,0.21245209444574875,7.247820119226656e-07
KHSRP,0.21685396866658638,4.1981753014615934e-07
UPF3B,0.21998973150683404,2.8253186669095566e-07
SF3B3,0.23356384113220208,4.751989181831069e-08
MBNL1,0.23912858031587392,2.2151059534250378e-08
HNRNPA1,0.2737628256414291,1.236865672345287e-10
QKI,0.2966583238875478,2.608045536316399e-12
SF3A3,0.3237731523472235,1.6937194692616762e-14
