tier3_gene,partner,r,in_tier3,partner_gap
AKR1E2,GGH,-0.9672,False,0.794
AKR1E2,TNFRSF19,-0.9651,False,0.6108
AKR1E2,SLCO4C1,-0.9648,False,0.6809
AKR1E2,MPP6,-0.964,False,0.5108
AKR1E2,TMEM170B,-0.9635,False,0.5832
AKR1E2,RUNDC3B,-0.9619,False,0.6597
AKR1E2,NLGN1,-0.9615,False,0.616
AKR1E2,UGT2B17,-0.9611,False,0.832
AKR1E2,AMOT,-0.9609,False,0.5786
AKR1E2,KBTBD7,-0.9608,False,0.5491
BTNL3,CA1,0.9733,False,-0.6185
BTNL3,SPATA31D1,0.9717,False,-0.5321
BTNL3,NOVA2,0.9704,False,-0.6665
BTNL3,CCDC77,-0.9695,False,0.5425
BTNL3,C4orf17,0.9694,True,-0.6518
BTNL3,NNAT,0.9688,False,-0.674
BTNL3,TPRXL,0.9685,False,-0.5479
BTNL3,C8orf76,-0.9682,False,0.6055
BTNL3,CYP2A6,0.968,False,-0.5674
BTNL3,ZNF710,0.9675,False,-0.7346
C1orf94,SPATA8,0.9738,False,-0.599
C1orf94,CA1,0.9715,False,-0.6185
C1orf94,SPATA31D1,0.9714,False,-0.5321
C1orf94,NNAT,0.971,False,-0.674
C1orf94,GNAO1,0.9709,False,-0.8432
C1orf94,LIMD1,0.9709,False,-0.7325
C1orf94,TPRXL,0.9706,False,-0.5479
C1orf94,C1orf194,0.9706,False,-0.5159
C1orf94,ATP5J2,-0.9697,False,0.661
C1orf94,CYP2A6,0.9694,False,-0.5674
C4orf17,NNAT,0.9941,False,-0.674
C4orf17,CA1,0.9929,False,-0.6185
C4orf17,CYP2A6,0.9921,False,-0.5674
C4orf17,SPATA31D1,0.9918,False,-0.5321
C4orf17,TPRXL,0.9916,False,-0.5479
C4orf17,SPATA8,0.9915,False,-0.599
C4orf17,GABRR2,0.9915,False,-0.5659
C4orf17,ATP5J2,-0.9906,False,0.661
C4orf17,GNAO1,0.9903,False,-0.8432
C4orf17,ASB12,0.9898,False,-0.617
MAP3K19,LIMD1,0.9572,False,-0.7325
MAP3K19,NNAT,0.9561,False,-0.674
MAP3K19,CYP2A6,0.956,False,-0.5674
MAP3K19,RHO,0.9557,False,-0.6532
MAP3K19,ATP5J2,-0.9549,False,0.661
MAP3K19,DGKK,0.9544,False,-0.601
MAP3K19,TPRXL,0.9539,False,-0.5479
MAP3K19,GABRR2,0.9538,False,-0.5659
MAP3K19,TBRG4,-0.9528,False,0.6261
MAP3K19,TTC25,-0.9527,False,0.5134
PAK3,NNAT,0.9697,False,-0.674
PAK3,C4orf17,0.9679,True,-0.6518
PAK3,DEFB118,0.9672,False,-0.6227
PAK3,ASB12,0.9669,False,-0.617
PAK3,ATP5J2,-0.9668,False,0.661
PAK3,C1orf194,0.9665,False,-0.5159
PAK3,GNAO1,0.9665,False,-0.8432
PAK3,SPATA31D1,0.9664,False,-0.5321
PAK3,TPRXL,0.9663,False,-0.5479
PAK3,OR7A5,0.9659,False,-0.5287
ZNF574,NNAT,0.9641,False,-0.674
ZNF574,BAAT,0.9632,False,-0.5634
ZNF574,GNAO1,0.9626,False,-0.8432
ZNF574,EYS,-0.9626,False,0.5005
ZNF574,TBRG4,-0.9625,False,0.6261
ZNF574,POU2F2,0.9616,False,-0.5995
ZNF574,TPRXL,0.9612,False,-0.5479
ZNF574,CXorf57,-0.9608,False,0.6216
ZNF574,UQCC2,-0.9606,False,0.6
ZNF574,PABPC5,-0.9599,False,0.659
