gene,r_depth,p_depth
ZEB2,0.8380389228351109,2.1460044179336464e-80
AURKA,0.8222272843422069,6.433760554711832e-75
TOP2A,0.7821407352342105,3.5387938929123303e-63
MKI67,0.7576203621557949,3.695795617904298e-57
CDC20,0.7547193439680877,1.7075304557183955e-56
CCNB1,0.738269675710236,6.803944883412355e-53
CDK6,0.7057331743785703,1.6277501552385368e-46
ERBB4,-0.6797647351241298,5.097582495312717e-42
PCNA,0.6688134035742253,2.9308325536764525e-40
CDH2,-0.6259407523674001,4.880193389864503e-34
VIM,-0.6211254643333268,2.1257284961344947e-33
PLK1,0.6180957097293351,5.2960684588160194e-33
FABP1,-0.6175312059474433,6.27109466023288e-33
MLH1,0.5958604849062519,3.207311033960227e-30
TWIST1,-0.5894313638207233,1.8657823861997768e-29
TFF1,0.5854350724362158,5.465969649015565e-29
BCL2,-0.5832093880715085,9.882451529172629e-29
DNMT3A,-0.5783721763758902,3.5244336649693214e-28
CTNNB1,-0.569126092307499,3.779947197251843e-27
SNAI1,0.5607216987816757,3.064334991619944e-26
WNT5A,0.5584706171781495,5.313806597173388e-26
TGFB2,-0.5493109820527625,4.782795397679306e-25
ERBB3,-0.5480479474101366,6.441372389132524e-25
ZEB1,0.5293272465221723,4.6004819274359837e-23
FOXA2,0.5230146049345573,1.8295887817096094e-22
CDK4,0.5206062062905944,3.074775318262807e-22
TGFBR2,-0.5163560085837245,7.609255976286712e-22
BAX,0.4899324396784391,1.6151391227989764e-19
MSH6,-0.4873312710871677,2.670230530175459e-19
TGFBR1,0.4703973079189236,6.359105488064915e-18
SNAI2,-0.45866154598868425,5.1735551829168695e-17
NCAM1,-0.4418066104507582,9.152106577889071e-16
EZH2,-0.4368015660784446,2.0841158297762865e-15
KDM6A,0.43290458640059504,3.918742838399794e-15
GRB7,-0.41253611989764405,9.339857532709268e-14
VEGFA,0.4119681935286328,1.0172361147553363e-13
GATA6,0.41150038948115214,1.0912226476209669e-13
CDX2,0.39477830030344657,1.2506280363740064e-12
SOX2,0.3942947565924413,1.339310758744005e-12
KRT20,0.38280189368217615,6.605903849133669e-12
ERBB2,0.36268888097573176,9.318197417554091e-11
CCND1,0.35694213584287415,1.9202527946259668e-10
MCL1,0.3460208139710035,7.295288186799616e-10
ATP4A,0.3397113131964641,1.54136941418401e-09
CDH1,0.3389796889108431,1.6792209647574204e-09
MET,0.3385993400067526,1.7555341517098033e-09
GKN1,0.3229463326474978,1.0382860347719857e-08
CDX1,0.30811955471436836,5.104958364671894e-08
CD8A,-0.30473048007310377,7.258204792542624e-08
BUB1B,-0.30025527848648814,1.1473429141725768e-07
FGFR2,-0.2978086415131756,1.468935556853718e-07
MUC5AC,0.2921244632446981,2.5851864491833313e-07
PGC,-0.27844734236678836,9.585537780227003e-07
TGFB1,-0.25301092958309856,9.148657796250878e-06
HDAC1,0.25047960536426433,1.1308426988722146e-05
FN1,0.23407774433477224,4.231798945248405e-05
MYC,0.22022429621768222,0.00012016349579667014
KRAS,0.2153333987610851,0.00017107381659848495
TFF2,0.17185039136342065,0.002823220061996294
ENO2,-0.1481590757437613,0.010179408653363652
GATA4,-0.13475125103675806,0.01954993232269669
TP53,0.13027580311007259,0.024030045041877512
HNF4A,-0.12874838096383773,0.025749658396751272
OLFM4,0.1243916587992759,0.031247660010266562
CLDN18,-0.11615214051912805,0.04440745128716879
RB1,0.10819432663633685,0.06125432118668554
MUC2,-0.1073889189921846,0.06322001324164905
CD68,0.10710016450493826,0.06393726379770394
CHGA,0.10093600887165498,0.08091097280172041
PDCD1,0.0995604327519414,0.08515687884004074
MMP9,0.09397293477926749,0.10427752661850467
APC,0.09293440922943455,0.10817953408386768
JAG1,0.07793923337026722,0.17818632968613865
CD274,0.07507648265509184,0.19471204032355435
MUC6,0.07072141939944121,0.22195465358186864
FOXP3,-0.0636606571822372,0.2717039379047609
BMI1,-0.05130114008813321,0.37592177416507677
CDKN1A,0.04701187861647716,0.4171825015217352
GKN2,-0.04185127058803375,0.4701865326015156
MMP2,-0.03172615471403281,0.5841335652839753
CD163,-0.02315433382764755,0.6895807018905531
EGFR,0.018263651375766153,0.7527302190276658
NOTCH1,0.017732069664572497,0.7597033657398984
AXIN2,-0.017086610946388706,0.7681964682277536
VIL1,-0.0049275624273758326,0.9322676706780381
PMS2,0.0023039181373769937,0.9683016115731244
